GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,SuspendGen_total,GenStorageCapacity,GenCapitalRecovery,GenFixedOMCosts
NYCW_nj_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,NYCW,Naturalgas,623.4,0,.,0,5.71533e+06
NYCW_ny_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,NYCW,Naturalgas,1471.8,0,.,0,1.80952e+07
NYCW_ny_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,NYCW,Naturalgas,0,0,.,0,0
NYCW_ny_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,NYCW,Naturalgas,18.8,0,.,0,252146
NYCW_ny_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,NYCW,Naturalgas,37.4,0,.,0,897600
NYCW_ny_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,NYCW,Naturalgas,396.5,0,.,0,1.0604e+07
NYUP_ny_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,NYUP,Naturalgas,6565.9,0,.,0,7.32311e+07
NYUP_ny_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,NYUP,Naturalgas,1836.7,0,.,0,3.02909e+07
NYUP_ny_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,NYUP,Naturalgas,0,0,.,0,0
NYUP_ny_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,NYUP,Naturalgas,57.6,0,.,0,772531
NYUP_ny_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,NYUP,Naturalgas,19.5,0,.,0,468000
NYUP_ny_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,NYUP,Naturalgas,1838.4,0,.,0,5.03745e+07
PJMC_il_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJMC,Naturalgas,4843.4,0,.,0,5.66587e+07
PJMC_il_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,PJMC,Naturalgas,195,0,.,0,3.21594e+06
PJMC_il_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,PJMC,Naturalgas,101.8,0,.,0,1.36534e+06
PJMC_il_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,PJMC,Naturalgas,8523.9,0,.,0,7.84786e+07
PJMC_il_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,PJMC,Naturalgas,118.5,0,.,0,2.844e+06
PJMC_il_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,PJMC,Naturalgas,44.2,0,.,0,2.26759e+06
PJMD_va_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJMD,Naturalgas,6969.3,0,.,0,7.88423e+07
PJMD_va_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,PJMD,Naturalgas,932,0,.,0,1.53705e+07
PJMD_va_natural_gas_fired_combustion_turbine_1,2023,Natural Gas Fired Combustion Turbine,PJMD,Naturalgas,1874,0,.,0,1.71808e+07
PJMD_va_natural_gas_fired_combustion_turbine_2,2023,Natural Gas Fired Combustion Turbine,PJMD,Naturalgas,59.5,0,.,0,798014
PJMD_va_natural_gas_fired_combustion_turbine_3,2023,Natural Gas Fired Combustion Turbine,PJMD,Naturalgas,2627,0,.,0,2.40843e+07
PJMD_va_natural_gas_internal_combustion_engine_1,2023,Natural Gas Internal Combustion Engine,PJMD,Naturalgas,2.3,0,.,0,55200
PJMD_va_natural_gas_steam_turbine_1,2023,Natural Gas Steam Turbine,PJMD,Naturalgas,20.3,0,.,0,1.04145e+06
PJME_de_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJME,Naturalgas,388,0,.,0,6.3989e+06
PJME_de_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,PJME,Naturalgas,1136,0,.,0,1.40092e+07
PJME_md_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJME,Naturalgas,313.3,0,.,0,5.16694e+06
PJME_md_natural_gas_fired_combined_cycle_2,2023,Natural Gas Fired Combined Cycle,PJME,Naturalgas,2627.8,0,.,0,2.84857e+07
PJME_nj_natural_gas_fired_combined_cycle_1,2023,Natural Gas Fired Combined Cycle,PJME,Naturalgas,1505.5,0,.,0,2.48287e+07
