generation_project,gen_dbid,gen_tech,gen_load_zone,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
ISNE_ma_natural_gas_fired_combined_cycle_1,ISNE_ma_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,2023,1002.0160858593185,4560175.206745759,479087.59834993165,2640.5,0.0,43547126.0,48.01050790066852,0.04331955030313296,,
ISNE_ma_natural_gas_fired_combined_cycle_2,ISNE_ma_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,2023,12836.333732758223,46095274.43433479,5268276.537898272,4495.4,0.0,48304147.4006,7.354079739608843,0.3259628275915581,,
ISNE_ma_natural_gas_fired_combustion_turbine_1,ISNE_ma_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,2023,0.0,0.0,0.0,144.70000000000002,0.0,1940716.4000000001,0.0,0.0,,
ISNE_ma_natural_gas_fired_combustion_turbine_2,ISNE_ma_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,2023,33.1715081290426,225566.25527748972,17099.17935019181,808.2,0.0,8480673.7452,262.46138603673944,0.004685347304391511,,
ISNE_ma_natural_gas_internal_combustion_engine_1,ISNE_ma_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,2023,3.0143533399999995,18698.03376802,1496.8933241547238,33.4,0.0,801600.0,272.13068318262253,0.010302511540626622,,
ISNE_ma_natural_gas_steam_turbine_1,ISNE_ma_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,ISNE,Naturalgas,2023,0.0,0.0,0.0,37.300000000000004,0.0,1913601.9000000001,0.0,0.0,,
ISNE_me_natural_gas_fired_combined_cycle_1,ISNE_me_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,2023,6165.458428139187,22263470.384010606,2444057.143976275,1116.5,0.0,10927185.5,5.383323279340959,0.6303794751087181,,
ISNE_me_natural_gas_fired_combined_cycle_2,ISNE_me_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,2023,190.16216610863432,865428.0179603948,85845.75857292495,256.0,0.0,4221952.0,26.752850590974635,0.08479682046944936,,
ISNE_me_natural_gas_fired_combustion_turbine_1,ISNE_me_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,2023,0.0,0.0,0.0,183.1,0.0,2001466.0999999999,0.0,0.0,,
ISNE_me_natural_gas_fired_combustion_turbine_2,ISNE_me_natural_gas_fired_combustion_turbine_2,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,2023,0.1570835,1068.1678,80.5146559266,5.0,0.0,67060.0,433.70670885229833,0.0035863773482622666,,
ISNE_nh_natural_gas_fired_combined_cycle_1,ISNE_nh_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,2023,6045.999937226605,21832105.773325272,2378416.8099457724,797.0,0.0,7800239.0,4.901148706746116,0.8659747614456768,,
ISNE_nh_natural_gas_fired_combined_cycle_2,ISNE_nh_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,2023,4547.613406423525,16421432.010595348,1793073.3057394484,633.0,0.0,6195171.0,4.9732906008785385,0.8201159266851086,,
ISNE_nh_natural_gas_fired_combustion_turbine_1,ISNE_nh_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,2023,0.1570835,1068.1678,80.5146559266,5.0,0.0,67060.0,433.70670885229833,0.0035863773482622666,,
ISNE_nh_natural_gas_steam_turbine_1,ISNE_nh_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,ISNE,Naturalgas,2023,0.0,0.0,0.0,400.2,0.0,20531460.599999998,0.0,0.0,,
ISNE_nuclear_1,ISNE_nuclear_1,Nuclear,ISNE,Uranium,2023,29394.21221279999,72603704.16561599,0.0,3355.5,0.0,751018916.595,28.01989094989121,0.9999999999999998,,
ISNE_offshore_wind_turbine_1,ISNE_offshore_wind_turbine_1,Offshore Wind Turbine,ISNE,Wind,2023,122.14092999184898,0.0,0.0,29.3,0.0,3268766.6,26.762254063548884,0.4758707596541903,,
ISNE_onshore_wind_turbine_1,ISNE_onshore_wind_turbine_1,Onshore Wind Turbine,ISNE,Wind,2023,3424.4665283317145,0.0,0.0,1547.1,0.0,46877130.0,13.68888544016138,0.25267947008055114,,
ISNE_petroleum_liquids_1,ISNE_petroleum_liquids_1,Petroleum Liquids,ISNE,Distillate,2023,0.0,0.0,0.0,1103.2000000000005,0.0,26476800.0,0.0,0.0,,
ISNE_ri_natural_gas_fired_combined_cycle_1,ISNE_ri_natural_gas_fired_combined_cycle_1,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,2023,6462.82795456551,23337271.743936058,2624005.8675122703,1117.1,0.0,10933057.7,5.3026832347790736,0.6604287348747193,,
ISNE_ri_natural_gas_fired_combined_cycle_2,ISNE_ri_natural_gas_fired_combined_cycle_2,Natural Gas Fired Combined Cycle,ISNE,Naturalgas,2023,751.2894268169118,3419118.1814437653,325046.30211122613,781.4,0.0,12886848.8,21.70397505862612,0.10975625698853005,,
ISNE_ri_natural_gas_fired_combustion_turbine_1,ISNE_ri_natural_gas_fired_combustion_turbine_1,Natural Gas Fired Combustion Turbine,ISNE,Naturalgas,2023,0.0,0.0,0.0,15.1,0.0,202521.2,0.0,0.0,,
ISNE_ri_natural_gas_internal_combustion_engine_1,ISNE_ri_natural_gas_internal_combustion_engine_1,Natural Gas Internal Combustion Engine,ISNE,Naturalgas,2023,11.496095899999997,63734.35566959999,5101.896544469256,14.5,0.0,348000.0,35.81514622451959,0.09050608802985785,,
ISNE_ri_natural_gas_steam_turbine_1,ISNE_ri_natural_gas_steam_turbine_1,Natural Gas Steam Turbine,ISNE,Naturalgas,2023,6.68460728,7058.945287680001,3266.651265569328,10.4,0.0,533551.2,80.87388273431674,0.07337328717082685,,
ISNE_small_hydroelectric_1,ISNE_small_hydroelectric_1,Small Hydroelectric,ISNE,Water,2023,2678.71807957824,0.0,0.0,693.4000000000001,0.0,32623083.200000003,12.178617618893458,0.44099999999999995,,
